Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
3400025,Jahanpanah,1,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.0115444444,27.1616611111,"North Indian, Mughlai",850,Indian Rupees(Rs.),0,0,0,0,3,3.9,9ACD32,Good,140
3400341,Rangrezz Restaurant,1,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",0.0000000000,0.0000000000,"North Indian, Mughlai",700,Indian Rupees(Rs.),0,0,0,0,2,3.5,9ACD32,Good,71
3400005,Time2Eat - Mama Chicken,1,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.0116079748,27.1608324942,North Indian,500,Indian Rupees(Rs.),0,0,0,0,2,3.6,9ACD32,Good,94
3400005,Mama Chicken Mama Franky House,1,Agra,"A-17, Shoping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,"Agra Cantt, Agra",78.0116267502,27.1618544816,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",600,Indian Rupees(Rs.),0,1,0,0,2,4.3,5BA829,Very Good,31399
3400021,Chokho Jeeman Marwari Jain Bhojanalya,1,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.9983638972,27.1957585181,Rajasthani,400,Indian Rupees(Rs.),0,1,0,0,2,4.5,3F7E00,Excellent,4944
3400017,Pinch Of Spice,1,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0076245591,27.2017348130,"North Indian, Chinese, Mughlai",1600,Indian Rupees(Rs.),0,1,0,0,4,4.5,3F7E00,Excellent,6037
3401284,Cake House,1,Agra,"23/301, Wazirpura Road, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0090248000,27.2041478000,"Bakery, Fast Food, Pizza, Desserts",300,Indian Rupees(Rs.),0,1,1,0,1,3.8,9ACD32,Good,29147
3400282,Aahar,1,Agra,"26/118, Opposite Income Tax Building, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0045282841,27.1996056773,"North Indian, South Indian, Chinese, Bakery, Continental",700,Indian Rupees(Rs.),1,1,0,0,2,4.2,5BA829,Very Good,16730
3400290,Bhagat Halwai,1,Agra,"Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0047985166,27.2056679414,"Mithai, Fast Food, Chinese, South Indian, Beverages",300,Indian Rupees(Rs.),0,1,1,0,1,4.3,5BA829,Very Good,30529
3400021,Chokho Jeeman Marwari Jain Bhojanalya,1,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.9980916667,27.1959277778,Rajasthani,400,Indian Rupees(Rs.),0,0,0,0,2,4.0,5BA829,Very Good,87
3400275,Domino's Pizza,1,Agra,"114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0075558275,27.2015156391,"Pizza, Fast Food",400,Indian Rupees(Rs.),0,0,0,0,2,4.2,5BA829,Very Good,8608
3400868,Hichkee,1,Agra,"6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0246930000,27.1900415000,"Continental, North Indian, Chinese",1500,Indian Rupees(Rs.),0,1,0,0,4,4.4,5BA829,Very Good,2971
3400279,Mc Donald's,1,Agra,"4-5, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0086210000,27.2011170000,"Burger, Fast Food",500,Indian Rupees(Rs.),0,1,0,0,2,4.4,5BA829,Very Good,7953
3400469,Papa Ji Da Dhaba,1,Agra,"Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",77.9984394000,27.1958233000,North Indian,250,Indian Rupees(Rs.),0,1,0,0,1,4.2,5BA829,Very Good,11605
3400017,Pinch Of Spice,1,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0075527778,27.2017250000,"North Indian, Chinese, Mughlai",1000,Indian Rupees(Rs.),0,0,0,0,3,4.2,5BA829,Very Good,177
3400277,Pizza Hut,1,Agra,"Shop 25, 7 & 8 Block, 114/2, Sanjay Place, Civil Lines, Agra",Civil Lines,"Civil Lines, Agra",78.0078501999,27.2017342166,"Pizza, Fast Food, Beverages",600,Indian Rupees(Rs.),0,1,0,0,2,4.2,5BA829,Very Good,5564
3400712,The Greener Side,1,Agra,Delhi Gate Rd,Civil Lines,"Civil Lines, Agra",77.9981701000,27.1971028000,"Fast Food, Italian, Burger, Sandwich, Desserts, Beverages",300,Indian Rupees(Rs.),0,1,0,0,1,4.3,5BA829,Very Good,8143
